State,yo,yo_se,pop_at_risk,par_se,delta_o3,do3_se,beta,beta_se
alabama,0.152,0.021,57624,5194,7.7,2.23,0.001594,0.000298
arkansas,0.152,0.021,.,.,6.2,2.65,0.001594,0.000298
arizona,0.152,0.021,14251,5898,.,.,0.001594,0.000298
california,0.152,0.021,53360,6864,5.8,3.16,0.001594,0.000298
colorado,0.152,0.021,.,.,3.1,1.83,0.001594,0.000298
connecticut,0.152,0.021,7414,785,11.4,3.7,0.001594,0.000298
delaware,0.152,0.021,7299,1423,.,.,0.001594,0.000298
florida,0.152,0.021,.,.,16.3,2.79,0.001594,0.000298
georgia,0.152,0.021,104158,6391,8.4,2.22,0.001594,0.000298
iowa,0.152,0.021,3018,716,4.4,1.58,0.001594,0.000298
idaho,0.152,0.021,.,.,2.4,2.16,0.001594,0.000298
illinois,0.152,0.021,69925,7976,5.7,2.01,0.001594,0.000298
indiana,0.152,0.021,16955,1765,7.6,3.61,0.001594,0.000298
kansas,0.152,0.021,5362,483,0.7,1.7,0.001594,0.000298
kentucky,0.152,0.021,12160,1741,6,2.4,0.001594,0.000298
louisiana,0.152,0.021,48736,4276,11.4,3.29,0.001594,0.000298
massachusetts,0.152,0.021,10709,2114,11.8,3.28,0.001594,0.000298
maryland,0.152,0.021,56063,2885,8,5.2,0.001594,0.000298
maine,0.152,0.021,.,.,8.7,2.58,0.001594,0.000298
michigan,0.152,0.021,47618,3124,5.3,3.1,0.001594,0.000298
minnesota,0.152,0.021,7587,2929,1.4,1.58,0.001594,0.000298
missouri,0.152,0.021,21936,2437,6.6,2.71,0.001594,0.000298
mississippi,0.152,0.021,43570,1916,10.6,2.37,0.001594,0.000298
montana,0.152,0.021,.,.,-1.3,1.46,0.001594,0.000298
north carolina,0.152,0.021,.,.,6.5,2.19,0.001594,0.000298
north dakota,0.152,0.021,.,.,0.8,1.31,0.001594,0.000298
nebraska,0.152,0.021,2991,434,.,.,0.001594,0.000298
new hampshire,0.152,0.021,.,.,6.5,3.62,0.001594,0.000298
new jersey,0.152,0.021,40694,2182,7.7,3.22,0.001594,0.000298
new mexico,0.152,0.021,.,.,1.2,1.74,0.001594,0.000298
nevada,0.152,0.021,6641,1879,2.2,3,0.001594,0.000298
new york,0.152,0.021,93114,9679,9.9,3.05,0.001594,0.000298
ohio,0.152,0.021,41110,3441,5.1,2.18,0.001594,0.000298
oklahoma,0.152,0.021,12261,1131,3.4,2.2,0.001594,0.000298
oregon,0.152,0.021,.,.,2.1,1.79,0.001594,0.000298
pennsylvania,0.152,0.021,52216,3577,6.2,2.97,0.001594,0.000298
rhode island,0.152,0.021,939,155,11.2,4.56,0.001594,0.000298
south carolina,0.152,0.021,.,.,9.7,2.17,0.001594,0.000298
south dakota,0.152,0.021,.,.,1.6,1.81,0.001594,0.000298
tennessee,0.152,0.021,34395,4921,5.8,2.23,0.001594,0.000298
texas,0.152,0.021,108377,9255,9.4,2.74,0.001594,0.000298
utah,0.152,0.021,1736,456,2.6,1.63,0.001594,0.000298
virginia,0.152,0.021,29576,2964,10,2.63,0.001594,0.000298
vermont,0.152,0.021,.,.,4.6,2.33,0.001594,0.000298
washington,0.152,0.021,2947,787,0,2.25,0.001594,0.000298
wisconsin,0.152,0.021,11217,1202,6.3,1.96,0.001594,0.000298
west virginia,0.152,0.021,.,.,.,.,0.001594,0.000298
wyoming,0.152,0.021,.,.,-0.7,2.18,0.001594,0.000298
