State,yo,yo_se,pop_at_risk,par_se,delta_o3,do3_se,beta,beta_se
alabama,0.093,0.011,61870,3716,7.7,2.23,0.001594,0.000298
arkansas,0.093,0.011,.,.,6.2,2.65,0.001594,0.000298
arizona,0.093,0.011,62837,3347,.,.,0.001594,0.000298
california,0.093,0.011,326709,10716,5.8,3.16,0.001594,0.000298
colorado,0.093,0.011,.,.,3.1,1.83,0.001594,0.000298
connecticut,0.093,0.011,41724,1374,11.4,3.7,0.001594,0.000298
delaware,0.093,0.011,13205,1343,.,.,0.001594,0.000298
florida,0.093,0.011,.,.,16.3,2.79,0.001594,0.000298
georgia,0.093,0.011,120617,4466,8.4,2.22,0.001594,0.000298
iowa,0.093,0.011,19234,938,4.4,1.58,0.001594,0.000298
idaho,0.093,0.011,10654,631,2.4,2.16,0.001594,0.000298
illinois,0.093,0.011,134789,6960,5.7,2.01,0.001594,0.000298
indiana,0.093,0.011,64525,2346,7.6,3.61,0.001594,0.000298
kansas,0.093,0.011,28564,719,0.7,1.7,0.001594,0.000298
kentucky,0.093,0.011,47205,2246,6,2.4,0.001594,0.000298
louisiana,0.093,0.011,46323,2717,11.4,3.29,0.001594,0.000298
massachusetts,0.093,0.011,65141,3768,11.8,3.28,0.001594,0.000298
maryland,0.093,0.011,63746,1927,8,5.2,0.001594,0.000298
maine,0.093,0.011,11570,509,8.7,2.58,0.001594,0.000298
michigan,0.093,0.011,111976,3062,5.3,3.1,0.001594,0.000298
minnesota,0.093,0.011,36547,3386,1.4,1.58,0.001594,0.000298
missouri,0.093,0.011,58879,2870,6.6,2.71,0.001594,0.000298
mississippi,0.093,0.011,35180,1169,10.6,2.37,0.001594,0.000298
montana,0.093,0.011,7019,278,-1.3,1.46,0.001594,0.000298
north carolina,0.093,0.011,.,.,6.5,2.19,0.001594,0.000298
north dakota,0.093,0.011,3603,280,0.8,1.31,0.001594,0.000298
nebraska,0.093,0.011,13914,521,.,.,0.001594,0.000298
new hampshire,0.093,0.011,12711,524,6.5,3.62,0.001594,0.000298
new jersey,0.093,0.011,86039,2132,7.7,3.22,0.001594,0.000298
new mexico,0.093,0.011,20114,683,1.2,1.74,0.001594,0.000298
nevada,0.093,0.011,22410,1352,2.2,3,0.001594,0.000298
new york,0.093,0.011,207692,8627,9.9,3.05,0.001594,0.000298
ohio,0.093,0.011,102524,3617,5.1,2.18,0.001594,0.000298
oklahoma,0.093,0.011,42259,1360,3.4,2.2,0.001594,0.000298
oregon,0.093,0.011,32581,1294,2.1,1.79,0.001594,0.000298
pennsylvania,0.093,0.011,126081,3587,6.2,2.97,0.001594,0.000298
rhode island,0.093,0.011,12296,474,11.2,4.56,0.001594,0.000298
south carolina,0.093,0.011,.,.,9.7,2.17,0.001594,0.000298
south dakota,0.093,0.011,5395,612,1.6,1.81,0.001594,0.000298
tennessee,0.093,0.011,51102,4334,5.8,2.23,0.001594,0.000298
texas,0.093,0.011,272072,9166,9.4,2.74,0.001594,0.000298
utah,0.093,0.011,27266,767,2.6,1.63,0.001594,0.000298
virginia,0.093,0.011,70065,3565,10,2.63,0.001594,0.000298
vermont,0.093,0.011,5618,188,4.6,2.33,0.001594,0.000298
washington,0.093,0.011,49056,1756,0,2.25,0.001594,0.000298
wisconsin,0.093,0.011,48293,2205,6.3,1.96,0.001594,0.000298
west virginia,0.093,0.011,15524,602,.,.,0.001594,0.000298
wyoming,0.093,0.011,4058,232,-0.7,2.18,0.001594,0.000298
