State,yo,yo_se,pop_at_risk,par_se,delta_o3,do3_se,beta,beta_se
alabama,0.118,0.013,67470,5827.519983,7.7,2.23,0.001594,0.000298
arkansas,0.118,0.013,33125,4960,6.2,2.65,0.001594,0.000298
arizona,0.118,0.013,80244,13115.43634,5.8,2.54,0.001594,0.000298
california,0.118,0.013,387124,27003.38416,5.8,3.16,0.001594,0.000298
colorado,0.118,0.013,61119,9323,3.1,1.83,0.001594,0.000298
connecticut,0.118,0.013,48630,4192.918339,11.4,3.70,0.001594,0.000298
delaware,0.118,0.013,16529,1835.885261,5.8,2.54,0.001594,0.000298
florida,0.118,0.013,216554,31568,16.3,2.79,0.001594,0.000298
georgia,0.118,0.013,142745,13526.22566,8.4,2.22,0.001594,0.000298
iowa,0.118,0.013,23004,2425.334514,4.4,1.58,0.001594,0.000298
idaho,0.118,0.013,14108,1209.368282,2.4,2.16,0.001594,0.000298
illinois,0.118,0.013,162713,21263.89702,5.7,2.01,0.001594,0.000298
indiana,0.118,0.013,75778,7599.407839,7.6,3.61,0.001594,0.000298
kansas,0.118,0.013,34050,2298.368963,0.7,1.70,0.001594,0.000298
kentucky,0.118,0.013,57517,5541.290023,6.0,2.40,0.001594,0.000298
louisiana,0.118,0.013,51799,4928.036621,11.4,3.29,0.001594,0.000298
massachusetts,0.118,0.013,79937,8926.683277,11.8,3.28,0.001594,0.000298
maryland,0.118,0.013,77998,5850.300957,8.0,5.20,0.001594,0.000298
maine,0.118,0.013,14226,1503.792753,8.7,2.58,0.001594,0.000298
michigan,0.118,0.013,130932,10971.82201,5.3,3.10,0.001594,0.000298
minnesota,0.118,0.013,47335,5916.498441,1.4,1.58,0.001594,0.000298
missouri,0.118,0.013,72847,7934.840021,6.6,2.71,0.001594,0.000298
mississippi,0.118,0.013,44431,3499.380466,10.6,2.37,0.001594,0.000298
montana,0.118,0.013,8281,929.4050894,-1.3,1.46,0.001594,0.000298
north carolina,0.118,0.013,119055,18461,6.5,2.19,0.001594,0.000298
north dakota,0.118,0.013,6884,1081,0.8,1.31,0.001594,0.000298
nebraska,0.118,0.013,16825,1734.021672,5.8,2.54,0.001594,0.000298
new hampshire,0.118,0.013,15577,1855.586926,6.5,3.62,0.001594,0.000298
new jersey,0.118,0.013,112126,8099.917385,7.7,3.22,0.001594,0.000298
new mexico,0.118,0.013,25355,2439.808801,1.2,1.74,0.001594,0.000298
nevada,0.118,0.013,23398,3758.190476,2.2,3.00,0.001594,0.000298
new york,0.118,0.013,230938,26676.75845,9.9,3.05,0.001594,0.000298
ohio,0.118,0.013,129309,11002.73278,5.1,2.18,0.001594,0.000298
oklahoma,0.118,0.013,50536,4131.317225,3.4,2.20,0.001594,0.000298
oregon,0.118,0.013,37907,4421.651531,2.1,1.79,0.001594,0.000298
pennsylvania,0.118,0.013,161381,12180.69751,6.2,2.97,0.001594,0.000298
rhode island,0.118,0.013,14762,1338.849717,11.2,4.56,0.001594,0.000298
south carolina,0.118,0.013,45100,6654,9.7,2.17,0.001594,0.000298
south dakota,0.118,0.013,5678,572.8507937,1.6,1.81,0.001594,0.000298
tennessee,0.118,0.013,71587,12409.82887,5.8,2.23,0.001594,0.000298
texas,0.118,0.013,326308,29933.73919,9.4,2.74,0.001594,0.000298
utah,0.118,0.013,32869,2397.273257,2.6,1.63,0.001594,0.000298
virginia,0.118,0.013,92773,10427.7531,10.0,2.63,0.001594,0.000298
vermont,0.118,0.013,6825,596.5777116,4.6,2.33,0.001594,0.000298
washington,0.118,0.013,58645,5120.678946,0.0,2.25,0.001594,0.000298
wisconsin,0.118,0.013,52739,4583.986848,6.3,1.96,0.001594,0.000298
west virginia,0.118,0.013,17879,2028.43424,5.8,2.54,0.001594,0.000298
wyoming,0.118,0.013,5592,558.7,-0.7,2.18,0.001594,0.000298
