State,yo,yo_se,pop_at_risk,par_se,delta_o3,do3_se,beta,beta_se
alabama,0.1033,0.0062,124719,7287,7.7,2.23,0.0016,0.0003
arkansas,0.1033,0.0062,.,.,6.2,2.65,0.0016,0.0003
arizona,0.1033,0.0062,137290,7038,.,.,0.0016,0.0003
california,0.1033,0.0062,666327,21394,5.8,3.16,0.0016,0.0003
colorado,0.1033,0.0062,.,.,3.1,1.83,0.0016,0.0003
connecticut,0.1033,0.0062,86394,2759,11.4,3.7,0.0016,0.0003
delaware,0.1033,0.0062,27920,2723,.,.,0.0016,0.0003
florida,0.1033,0.0062,.,.,16.3,2.79,0.0016,0.0003
georgia,0.1033,0.0062,248446,8895,8.4,2.22,0.0016,0.0003
iowa,0.1033,0.0062,39872,1892,4.4,1.58,0.0016,0.0003
idaho,0.1033,0.0062,23080,1313,2.4,2.16,0.0016,0.0003
illinois,0.1033,0.0062,279530,13968,5.7,2.01,0.0016,0.0003
indiana,0.1033,0.0062,134976,4810,7.6,3.61,0.0016,0.0003
kansas,0.1033,0.0062,59528,1459,0.7,1.7,0.0016,0.0003
kentucky,0.1033,0.0062,97951,4515,6,2.4,0.0016,0.0003
louisiana,0.1033,0.0062,93711,5369,11.4,3.29,0.0016,0.0003
massachusetts,0.1033,0.0062,136354,7529,11.8,3.28,0.0016,0.0003
maryland,0.1033,0.0062,131888,3882,8,5.2,0.0016,0.0003
maine,0.1033,0.0062,24488,1033,8.7,2.58,0.0016,0.0003
michigan,0.1033,0.0062,229998,6137,5.3,3.1,0.0016,0.0003
minnesota,0.1033,0.0062,80342,7120,1.4,1.58,0.0016,0.0003
missouri,0.1033,0.0062,128231,6053,6.6,2.71,0.0016,0.0003
mississippi,0.1033,0.0062,73538,2345,10.6,2.37,0.0016,0.0003
montana,0.1033,0.0062,14542,562,-1.3,1.46,0.0016,0.0003
north carolina,0.1033,0.0062,.,.,6.5,2.19,0.0016,0.0003
north dakota,0.1033,0.0062,8211,622,0.8,1.31,0.0016,0.0003
nebraska,0.1033,0.0062,28818,1055,.,.,0.0016,0.0003
new hampshire,0.1033,0.0062,26733,1070,6.5,3.62,0.0016,0.0003
new jersey,0.1033,0.0062,183252,4368,7.7,3.22,0.0016,0.0003
new mexico,0.1033,0.0062,42384,1385,1.2,1.74,0.0016,0.0003
nevada,0.1033,0.0062,45012,2727,2.2,3,0.0016,0.0003
new york,0.1033,0.0062,425571,17238,9.9,3.05,0.0016,0.0003
ohio,0.1033,0.0062,212287,7273,5.1,2.18,0.0016,0.0003
oklahoma,0.1033,0.0062,87232,2714,3.4,2.2,0.0016,0.0003
oregon,0.1033,0.0062,67094,2596,2.1,1.79,0.0016,0.0003
pennsylvania,0.1033,0.0062,270307,7381,6.2,2.97,0.0016,0.0003
rhode island,0.1033,0.0062,25446,946,11.2,4.56,0.0016,0.0003
south carolina,0.1033,0.0062,.,.,9.7,2.17,0.0016,0.0003
south dakota,0.1033,0.0062,10719,1217,1.6,1.81,0.0016,0.0003
tennessee,0.1033,0.0062,112685,9418,5.8,2.23,0.0016,0.0003
texas,0.1033,0.0062,561684,18367,9.4,2.74,0.0016,0.0003
utah,0.1033,0.0062,56545,1544,2.6,1.63,0.0016,0.0003
virginia,0.1033,0.0062,153985,7456,10,2.63,0.0016,0.0003
vermont,0.1033,0.0062,11608,377,4.6,2.33,0.0016,0.0003
washington,0.1033,0.0062,102226,3552,0,2.25,0.0016,0.0003
wisconsin,0.1033,0.0062,100565,4455,6.3,1.96,0.0016,0.0003
west virginia,0.1033,0.0062,31553,1197,.,.,0.0016,0.0003
wyoming,0.1033,0.0062,8495,465,-0.7,2.18,0.0016,0.0003
