State,yo,yo_se,pop_at_risk,par_se,delta_o3,do3_se,beta,beta_se
alabama,0.094,0.01,.,.,7.7,2.23,0.001594,0.000298
arkansas,0.094,0.01,.,.,6.2,2.65,0.001594,0.000298
arizona,0.094,0.01,67570,8225,.,.,0.001594,0.000298
california,0.094,0.01,217612,11266,5.8,3.16,0.001594,0.000298
colorado,0.094,0.01,.,.,3.1,1.83,0.001594,0.000298
connecticut,0.094,0.01,50456,2049,11.4,3.7,0.001594,0.000298
delaware,0.094,0.01,15750,2049,.,.,0.001594,0.000298
florida,0.094,0.01,,,16.3,2.79,0.001594,0.000298
georgia,0.094,0.01,99470,4618,8.4,2.22,0.001594,0.000298
iowa,0.094,0.01,33007,1727,4.4,1.58,0.001594,0.000298
idaho,0.094,0.01,17680,1138,2.4,2.16,0.001594,0.000298
illinois,0.094,0.01,133908,7769,5.7,2.01,0.001594,0.000298
indiana,0.094,0.01,92732,3695,7.6,3.61,0.001594,0.000298
kansas,0.094,0.01,41930,1176,0.7,1.7,0.001594,0.000298
kentucky,0.094,0.01,74522,3723,6,2.4,0.001594,0.000298
louisiana,0.094,0.01,36043,2866,11.4,3.29,0.001594,0.000298
massachusetts,0.094,0.01,80986,5472,11.8,3.28,0.001594,0.000298
maryland,0.094,0.01,48163,1838,8,5.2,0.001594,0.000298
maine,0.094,0.01,21241,935,8.7,2.58,0.001594,0.000298
michigan,0.094,0.01,134705,4095,5.3,3.1,0.001594,0.000298
minnesota,0.094,0.01,65393,6452,1.4,1.58,0.001594,0.000298
missouri,0.094,0.01,82838,4829,6.6,2.71,0.001594,0.000298
mississippi,0.094,0.01,24334,1222,10.6,2.37,0.001594,0.000298
montana,0.094,0.01,11118,487,-1.3,1.46,0.001594,0.000298
north carolina,0.094,0.01,.,.,6.5,2.19,0.001594,0.000298
north dakota,0.094,0.01,6753,546,0.8,1.31,0.001594,0.000298
nebraska,0.094,0.01,20096,787,.,.,0.001594,0.000298
new hampshire,0.094,0.01,15181,753,6.5,3.62,0.001594,0.000298
new jersey,0.094,0.01,74986,2503,7.7,3.22,0.001594,0.000298
new mexico,0.094,0.01,11502,663,1.2,1.74,0.001594,0.000298
nevada,0.094,0.01,18456,1369,2.2,3,0.001594,0.000298
new york,0.094,0.01,166408,7957,9.9,3.05,0.001594,0.000298
ohio,0.094,0.01,143898,5794,5.1,2.18,0.001594,0.000298
oklahoma,0.094,0.01,44746,1872,3.4,2.2,0.001594,0.000298
oregon,0.094,0.01,46736,2096,2.1,1.79,0.001594,0.000298
pennsylvania,0.094,0.01,151201,4694,6.2,2.97,0.001594,0.000298
rhode island,0.094,0.01,16731,746,11.2,4.56,0.001594,0.000298
south carolina,0.094,0.01,.,.,9.7,2.17,0.001594,0.000298
south dakota,0.094,0.01,8490,1121,1.6,1.81,0.001594,0.000298
tennessee,0.094,0.01,62664,6576,5.8,2.23,0.001594,0.000298
texas,0.094,0.01,185716,9052,9.4,2.74,0.001594,0.000298
utah,0.094,0.01,44924,1324,2.6,1.63,0.001594,0.000298
virginia,0.094,0.01,99252,6244,10,2.63,0.001594,0.000298
vermont,0.094,0.01,10494,355,4.6,2.33,0.001594,0.000298
washington,0.094,0.01,63433,2590,0,2.25,0.001594,0.000298
wisconsin,0.094,0.01,69865,3629,6.3,1.96,0.001594,0.000298
west virginia,0.094,0.01,27922,1112,.,.,0.001594,0.000298
wyoming,0.094,0.01,6859,417,-0.7,2.18,0.001594,0.000298
