state,median,lower_bound,upper_bound,median_100k,lower_bound_100k,upper_bound_100k,group
alabama,5.12767045218443e-4,9.42082211794977e-5,0.00110091091010993,51.2767045218443,9.42082211794977,110.091091010993,Marginal
arkansas,4.04142783362562e-4,5.11462206554816e-5,9.9665211859475e-4,40.4142783362562,5.11462206554816,99.665211859475,Marginal
california,1.61357645800111e-4,2.92050056485067e-5,3.60701524728004e-4,16.1357645800111,2.92050056485067,36.0701524728004,Marginal
colorado,1.36033858533971e-4,1.74178111768115e-5,3.64648027550433e-4,13.6033858533971,1.7417811176811497,36.4648027550433,Marginal
connecticut,3.46532028573586e-4,6.52517409684574e-5,8.12470870071365e-4,34.6532028573586,6.52517409684574,81.2470870071365,Marginal
florida,9.67199247014394e-4,1.88783428766787e-4,0.00194688942949166,96.71992470143941,18.8783428766787,194.688942949166,Marginal
georgia,7.51279848159531e-4,1.45071469871929e-4,0.0014989150898633,75.1279848159531,14.5071469871929,149.89150898633,Marginal
idaho,1.26093725681057e-4,1.04800340250463e-6,3.84443652148575e-4,12.6093725681057,0.104800340250463,38.4443652148575,Marginal
illinois,3.36972539955152e-4,5.72493081612079e-5,0.00073583434681789405,33.6972539955152,5.72493081612079,73.5834346817894,Marginal
indiana,2.83604020533547e-4,4.51936406326716e-5,6.89591590593428e-4,28.3604020533547,4.51936406326716,68.95915905934281,Marginal
iowa,3.87288906130134e-4,8.12503932983907e-5,7.79043233051407e-4,38.7288906130134,8.12503932983907,77.90432330514071,Marginal
kansas,-9.24589420242651e-5,-5.58485807118803e-4,2.07629002234825e-4,-9.24589420242651,-55.848580711880295,20.7629002234825,Marginal
kentucky,2.9496817206829e-4,5.50472590852094e-5,6.2795725567725e-4,29.496817206829,5.50472590852094,62.79572556772501,Marginal
louisiana,8.78713606288084e-4,1.61865271392441e-4,0.00176450357883425,87.8713606288084,16.1865271392441,176.450357883425,Marginal
maine,2.56960945542758e-4,3.21350741259914e-5,6.6937768109245e-4,25.6960945542758,3.21350741259914,66.937768109245,Marginal
