state,median,lower_bound,upper_bound
alabama,1801.312378832102,758.2979969373841,3245.8642571289674
california,5828.67134945512,-532.4233067833954,13368.127149484617
connecticut,1039.027262296589,352.0886964564704,2017.1445835080367
georgia,3957.7833973995657,1763.7721646708499,6818.44714053582
iowa,454.14291401918024,135.6303889520502,858.3611052728653
idaho,60.353170432992506,-53.63679602436275,205.44935404748938
illinois,3851.023123862476,1189.324249048833,7162.312676625583
indiana,1078.6824336606578,64.02356223548448,2516.815686950043
kansas,120.17347372536074,-612.0987351473364,736.4855121898634
kentucky,972.5039935637242,201.54007622860337,1999.210898143045
louisiana,1802.9289130251882,778.7756446732428,3071.186837653135
massachusetts,2252.769707857781,951.58852292162,3925.391192462619
maryland,729.2516614939841,-240.89151659463917,2060.9696685988106
maine,389.52033270324154,156.1332325127361,689.909416237831
michigan,1464.187376976021,-200.30192654411576,3724.216945684293
minnesota,299.6420818046492,-487.0907037227489,1070.101477802964
missouri,1261.7578838214586,252.88900076825513,2593.8649618485015
mississippi,1274.9089137372125,639.2269512983154,2094.117056857448
montana,-26.597281895201974,-114.16706389483198,36.895629677242574
north dakota,14.788016884328128,-41.2490222577446,69.23617006385291
new hampshire,135.98444769544034,-11.293336267789574,355.9819996172115
new jersey,1891.6577873812562,376.5704788097563,3854.567033055797
new mexico,99.09672663025407,-208.49301736016795,421.3883131757278
nevada,93.98323403255938,-199.37754170777853,427.79216790600765
new york,5908.260230267,2191.4810102175375,10867.0505041786
ohio,2187.4728796459303,366.1960042803123,4481.83328064261
oklahoma,694.2492885789695,-247.19269559654686,1707.8538499334563
oregon,565.8902241523548,-465.7527572206637,1493.9687257385533
pennsylvania,2055.8352107128735,153.59282593922552,4678.548397525338
rhode island,185.6442507779856,32.45129686964779,439.16464185113335
south dakota,30.154595832598567,-43.00316630134713,114.41033290082737
tennessee,1215.926708608415,288.99574857939854,2454.8310173258096
texas,10927.86559841429,4568.564292550011,18208.93843651826
utah,258.9698926984032,-63.55199680567145,680.6806115334925
virginia,1655.6213702096438,679.9988036108572,3071.454624411602
vermont,76.59827010730098,0.9629190738238941,179.97646374046911
washington,2.5787649708320246,-1652.737416979851,1233.2563247874457
wisconsin,1294.238498514157,492.79168685965703,2357.912440790649
wyoming,-8.169270421567777,-77.83074226571445,44.92969676143995
