state,median,lower_bound,upper_bound
alabama,2929.6892265488855,1012.5254286419024,6172.562213192827
california,9339.977485593628,-511.91117031368645,25080.80512535366
connecticut,1751.03982945393,530.9131020866168,3917.3959154137156
georgia,7132.145763421291,2855.8731092228322,14304.486235379014
iowa,757.6610191113127,202.73423975390415,1638.940841254647
idaho,104.01322502979755,-76.87884501194856,375.7994266269681
illinois,6763.83237021775,1916.516647145124,14663.841488358237
indiana,1711.0421786785723,117.83618513920595,4470.067545800087
kansas,193.3172915474216,-791.3525049112535,1260.9503102998344
kentucky,1663.133265409736,332.2099325429515,3885.301311636908
louisiana,3264.8556474040743,1171.484426250152,7015.523898683111
massachusetts,4295.408019342187,1535.6636574746735,9130.63776705429
maryland,1140.617756659923,-313.01514049332565,3701.2326589336744
maine,740.3256639717675,272.2781123235432,1521.847048530701
michigan,2266.2186943716238,-326.37161669902156,6387.787270152974
minnesota,529.774891016616,-687.8716987819704,2104.2513613809665
missouri,2226.6793907419487,417.78365162755165,5276.116472119018
mississippi,2484.0847256694997,1080.3864295624587,4842.0080302304605
montana,-38.86871872942284,-158.15061159442882,51.05080504213793
north dakota,22.71561173302038,-60.58980894987804,118.82666540778057
new hampshire,214.89492168449988,-17.78179591184791,632.2287301922627
new jersey,3344.0351706956662,532.3527080558342,8103.597444583288
new mexico,152.32191654152695,-336.4881608538559,729.6805773354967
nevada,125.69951967616126,-267.7655120299312,620.9317757407911
new york,9827.149023127364,3276.0331531425786,21232.226457574143
ohio,3683.1019178431525,581.8952549638886,8692.331854165068
oklahoma,1131.4554389573757,-291.92481299954835,3178.305977167368
oregon,858.9457708288028,-606.2213983437092,2735.222898144508
pennsylvania,3556.277559049914,102.40708873328133,8971.264319020403
rhode island,296.5212464538032,54.168852190475874,780.5587894468706
south dakota,42.350032638513326,-55.573944491544744,172.1421397108226
tennessee,2235.654108704414,465.4520813371764,5228.364679419459
texas,21657.550840728687,8043.593690165891,44172.081333122915
utah,424.4349107092985,-95.12423311130993,1177.1549684010988
virginia,3108.169197282995,1158.7229352075717,6574.306611386321
vermont,121.86532990219888,-0.5073390904722427,317.09927382236174
washington,-0.9284116780845516,-2132.962302697891,2090.625179651457
wisconsin,2334.2305737091347,774.9470835669358,4868.139617478359
wyoming,-13.11060108631174,-113.46414641729979,75.8109740139384
