State,nSmoky
alabama,32.42857142857143
arkansas,29.5
california,25.2
colorado,17.666666666666668
connecticut,18.4
florida,26.571428571428573
georgia,34.36363636363637
idaho,18.5
illinois,42.111111111111114
indiana,17.8
iowa,44.07142857142857
kansas,46.0
kentucky,27.823529411764707
louisiana,31.555555555555557
maine,34.0
maryland,11.5
massachusetts,26.375
michigan,19.555555555555557
minnesota,45.8
mississippi,30.5
missouri,26.666666666666668
montana,21.5
nevada,14.833333333333334
new hampshire,13.0
new jersey,23.4
new mexico,30.0
new york,24.555555555555557
north carolina,30.071428571428573
north dakota,38.0
ohio,34.7
oklahoma,38.5
oregon,66.0
pennsylvania,21.0
rhode island,11.0
south carolina,23.0
south dakota,27.333333333333332
tennessee,34.0
texas,39.96296296296296
utah,28.363636363636363
vermont,23.5
virginia,19.571428571428573
washington,40.8
wisconsin,35.5
wyoming,21.0
arizona,NA
nebraska,NA
west virginia,NA
delaware,NA
