state,strata,pop_at_risk,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
alabama,marginal,1163713,6.168036540793379,0.855377499605896,32.42857142857143,0.0095,4e-4,0.0095,0.004
arizona,marginal,1710799,NA,NA,NA,0.0095,4e-4,0.0095,0.004
arkansas,marginal,735868,5.5074680381129,1.7077936122330986,29.5,0.0095,4e-4,0.0095,0.004
california,marginal,9922201,2.494174546876336,0.4425310416487048,24.78787878787879,0.0095,4e-4,0.0095,0.004
colorado,marginal,1295345,3.0958620869655618,1.0080965706046623,17.666666666666668,0.0095,4e-4,0.0095,0.004
connecticut,marginal,854611,7.530114222888063,1.5850624242069442,18.4,0.0095,4e-4,0.0095,0.004
delaware,marginal,217451,NA,NA,NA,0.0095,4e-4,0.0095,0.004
florida,marginal,4165347,14.603116124837058,0.48895033783058345,26.5,0.0095,4e-4,0.0095,0.004
georgia,marginal,2581439,8.394070379725413,0.643853992356035,34.36363636363637,0.0095,4e-4,0.0095,0.004
idaho,marginal,445330,2.8246969056976874,1.3134345461504757,18.5,0.0095,4e-4,0.0095,0.004
illinois,marginal,3243593,3.077782143682389,0.6335156637882573,42.111111111111114,0.0095,4e-4,0.0095,0.004
indiana,marginal,1672609,6.402586608509475,1.4603050061487217,17.8,0.0095,4e-4,0.0095,0.004
iowa,marginal,756355,3.283443042393354,0.4158930464722037,44.07142857142857,0.0095,4e-4,0.0095,0.004
kansas,marginal,770300,-0.9269572611440776,1.2420225405971406,46,0.0095,4e-4,0.0095,0.004
kentucky,marginal,1062388,4.03911989119097,0.5397091539639758,27.823529411764707,0.0095,4e-4,0.0095,0.004
louisiana,marginal,1148910,10.90478106983647,0.894491663404189,31.7,0.0095,4e-4,0.0095,0.004
maine,marginal,283894,4.690142121423655,1.4355742837081207,22.333333333333332,0.0095,4e-4,0.0095,0.004
maryland,marginal,1427972,4.3197604984360645,1.8288996169773302,17.666666666666668,0.0095,4e-4,0.0095,0.004
massachusetts,marginal,1479903,7.4387867604117215,1.0339974576719628,26.375,0.0095,4e-4,0.0095,0.004
michigan,marginal,2457903,2.707859151784442,0.9364894444155839,19.555555555555557,0.0095,4e-4,0.0095,0.004
minnesota,marginal,1353173,-0.7041228825706584,0.4785995141040938,45.8,0.0095,4e-4,0.0095,0.004
mississippi,marginal,771688,8.811740792233623,0.8218515652930607,30.5,0.0095,4e-4,0.0095,0.004
missouri,marginal,1485917,4.381615478641194,1.0447475508989015,26.666666666666668,0.0095,4e-4,0.0095,0.004
montana,marginal,234600,-1.3035954384973885,1.0421519238620696,21.5,0.0095,4e-4,0.0095,0.004
nebraska,marginal,479152,NA,NA,NA,0.0095,4e-4,0.0095,0.004
nevada,marginal,717830,1.871937419137972,0.8917961588037685,14.833333333333334,0.0095,4e-4,0.0095,0.004
new hampshire,marginal,296981,2.237445716467837,2.541148106038089,13,0.0095,4e-4,0.0095,0.004
new jersey,marginal,2144266,4.30348065040259,1.2391849341743608,23.4,0.0095,4e-4,0.0095,0.004
new mexico,marginal,540605,0.6665321870912665,0.5388803058273527,30,0.0095,4e-4,0.0095,0.004
new york,marginal,4504635,7.4138704827253585,0.9932147514156776,24.555555555555557,0.0095,4e-4,0.0095,0.004
north carolina,marginal,2381786,4.840678002978285,0.5736152916373429,30.071428571428573,0.0095,4e-4,0.0095,0.004
north dakota,marginal,155913,-0.718660945854715,0.7665008905414159,38,0.0095,4e-4,0.0095,0.004
ohio,marginal,2857387,4.487444605592271,0.6712301432237828,34.7,0.0095,4e-4,0.0095,0.004
oklahoma,marginal,1028140,1.5967475445049761,0.6832444024849943,38.5,0.0095,4e-4,0.0095,0.004
oregon,marginal,928760,-2.307054093695364,0.8829536735269498,66,0.0095,4e-4,0.0095,0.004
pennsylvania,marginal,2905778,3.0428047621702374,1.4190406756386476,21,0.0095,4e-4,0.0095,0.004
rhode island,marginal,236863,9.441467473122215,3.131711620208615,11,0.0095,4e-4,0.0095,0.004
south carolina,marginal,1119316,9.327528142653765,1.2439463381432188,23,0.0095,4e-4,0.0095,0.004
south dakota,marginal,212195,-0.2977262750285157,1.0226923324606185,27.333333333333332,0.0095,4e-4,0.0095,0.004
tennessee,marginal,1548126,4.68384975022509,2.4304900946000103,34,0.0095,4e-4,0.0095,0.004
texas,marginal,7072004,8.28196927028711,0.43850714056189105,39.774193548387096,0.0095,4e-4,0.0095,0.004
utah,marginal,906698,1.7515251966871814,0.46796759517952496,28.363636363636363,0.0095,4e-4,0.0095,0.004
vermont,marginal,133735,1.554207848288739,1.6832133021522477,23.5,0.0095,4e-4,0.0095,0.004
virginia,marginal,1963053,8.115727586591744,0.9121610391909646,19.571428571428573,0.0095,4e-4,0.0095,0.004
washington,marginal,1734537,-1.4450958974156776,0.9305305755491331,40.8,0.0095,4e-4,0.0095,0.004
west virginia,marginal,401190,NA,NA,NA,0.0095,4e-4,0.0095,0.004
wisconsin,marginal,1393000,3.243078926509611,0.5635039627903868,35.5,0.0095,4e-4,0.0095,0.004
wyoming,marginal,140245,-1.2179716558722333,1.3851694294986299,21,0.0095,4e-4,0.0095,0.004
alabama,male,594422,6.168036540793379,0.855377499605896,32.42857142857143,0.0095,4e-4,0.0095,0.004
alabama,female,569291,6.168036540793379,0.855377499605896,32.42857142857143,0.0095,4e-4,0.0095,0.004
arizona,male,873481,NA,NA,NA,0.0095,4e-4,0.0095,0.004
arizona,female,837318,NA,NA,NA,0.0095,4e-4,0.0095,0.004
arkansas,male,376197,5.5074680381129,1.7077936122330986,29.5,0.0095,4e-4,0.0095,0.004
arkansas,female,359671,5.5074680381129,1.7077936122330986,29.5,0.0095,4e-4,0.0095,0.004
california,male,5075485,2.494174546876336,0.4425310416487048,24.78787878787879,0.0095,4e-4,0.0095,0.004
california,female,4846716,2.494174546876336,0.4425310416487048,24.78787878787879,0.0095,4e-4,0.0095,0.004
colorado,male,662778,3.0958620869655618,1.0080965706046623,17.666666666666668,0.0095,4e-4,0.0095,0.004
colorado,female,632567,3.0958620869655618,1.0080965706046623,17.666666666666668,0.0095,4e-4,0.0095,0.004
connecticut,male,437171,7.530114222888063,1.5850624242069442,18.4,0.0095,4e-4,0.0095,0.004
connecticut,female,417440,7.530114222888063,1.5850624242069442,18.4,0.0095,4e-4,0.0095,0.004
delaware,male,110567,NA,NA,NA,0.0095,4e-4,0.0095,0.004
delaware,female,106884,NA,NA,NA,0.0095,4e-4,0.0095,0.004
florida,male,2129235,14.603116124837058,0.48895033783058345,26.5,0.0095,4e-4,0.0095,0.004
florida,female,2036112,14.603116124837058,0.48895033783058345,26.5,0.0095,4e-4,0.0095,0.004
georgia,male,1317572,8.394070379725413,0.643853992356035,34.36363636363637,0.0095,4e-4,0.0095,0.004
georgia,female,1263867,8.394070379725413,0.643853992356035,34.36363636363637,0.0095,4e-4,0.0095,0.004
idaho,male,228395,2.8246969056976874,1.3134345461504757,18.5,0.0095,4e-4,0.0095,0.004
idaho,female,216935,2.8246969056976874,1.3134345461504757,18.5,0.0095,4e-4,0.0095,0.004
illinois,male,1656276,3.077782143682389,0.6335156637882573,42.111111111111114,0.0095,4e-4,0.0095,0.004
illinois,female,1587317,3.077782143682389,0.6335156637882573,42.111111111111114,0.0095,4e-4,0.0095,0.004
indiana,male,855361,6.402586608509475,1.4603050061487217,17.8,0.0095,4e-4,0.0095,0.004
indiana,female,817248,6.402586608509475,1.4603050061487217,17.8,0.0095,4e-4,0.0095,0.004
iowa,male,387897,3.283443042393354,0.4158930464722037,44.07142857142857,0.0095,4e-4,0.0095,0.004
iowa,female,368458,3.283443042393354,0.4158930464722037,44.07142857142857,0.0095,4e-4,0.0095,0.004
kansas,male,394487,-0.9269572611440776,1.2420225405971406,46,0.0095,4e-4,0.0095,0.004
kansas,female,375813,-0.9269572611440776,1.2420225405971406,46,0.0095,4e-4,0.0095,0.004
kentucky,male,544056,4.03911989119097,0.5397091539639758,27.823529411764707,0.0095,4e-4,0.0095,0.004
kentucky,female,518332,4.03911989119097,0.5397091539639758,27.823529411764707,0.0095,4e-4,0.0095,0.004
louisiana,male,586490,10.90478106983647,0.894491663404189,31.7,0.0095,4e-4,0.0095,0.004
louisiana,female,562420,10.90478106983647,0.894491663404189,31.7,0.0095,4e-4,0.0095,0.004
maine,male,145747,4.690142121423655,1.4355742837081207,22.333333333333332,0.0095,4e-4,0.0095,0.004
maine,female,138147,4.690142121423655,1.4355742837081207,22.333333333333332,0.0095,4e-4,0.0095,0.004
maryland,male,727852,4.3197604984360645,1.8288996169773302,17.666666666666668,0.0095,4e-4,0.0095,0.004
maryland,female,700120,4.3197604984360645,1.8288996169773302,17.666666666666668,0.0095,4e-4,0.0095,0.004
massachusetts,male,756154,7.4387867604117215,1.0339974576719628,26.375,0.0095,4e-4,0.0095,0.004
massachusetts,female,723749,7.4387867604117215,1.0339974576719628,26.375,0.0095,4e-4,0.0095,0.004
michigan,male,1257948,2.707859151784442,0.9364894444155839,19.555555555555557,0.0095,4e-4,0.0095,0.004
michigan,female,1199955,2.707859151784442,0.9364894444155839,19.555555555555557,0.0095,4e-4,0.0095,0.004
minnesota,male,691772,-0.7041228825706584,0.4785995141040938,45.8,0.0095,4e-4,0.0095,0.004
minnesota,female,661401,-0.7041228825706584,0.4785995141040938,45.8,0.0095,4e-4,0.0095,0.004
mississippi,male,393781,8.811740792233623,0.8218515652930607,30.5,0.0095,4e-4,0.0095,0.004
mississippi,female,377907,8.811740792233623,0.8218515652930607,30.5,0.0095,4e-4,0.0095,0.004
missouri,male,760301,4.381615478641194,1.0447475508989015,26.666666666666668,0.0095,4e-4,0.0095,0.004
missouri,female,725616,4.381615478641194,1.0447475508989015,26.666666666666668,0.0095,4e-4,0.0095,0.004
montana,male,120675,-1.3035954384973885,1.0421519238620696,21.5,0.0095,4e-4,0.0095,0.004
montana,female,113925,-1.3035954384973885,1.0421519238620696,21.5,0.0095,4e-4,0.0095,0.004
nebraska,male,245155,NA,NA,NA,0.0095,4e-4,0.0095,0.004
nebraska,female,233997,NA,NA,NA,0.0095,4e-4,0.0095,0.004
nevada,male,367467,1.871937419137972,0.8917961588037685,14.833333333333334,0.0095,4e-4,0.0095,0.004
nevada,female,350363,1.871937419137972,0.8917961588037685,14.833333333333334,0.0095,4e-4,0.0095,0.004
new hampshire,male,151968,2.237445716467837,2.541148106038089,13,0.0095,4e-4,0.0095,0.004
new hampshire,female,145013,2.237445716467837,2.541148106038089,13,0.0095,4e-4,0.0095,0.004
new jersey,male,1096629,4.30348065040259,1.2391849341743608,23.4,0.0095,4e-4,0.0095,0.004
new jersey,female,1047637,4.30348065040259,1.2391849341743608,23.4,0.0095,4e-4,0.0095,0.004
new mexico,male,275409,0.6665321870912665,0.5388803058273527,30,0.0095,4e-4,0.0095,0.004
new mexico,female,265196,0.6665321870912665,0.5388803058273527,30,0.0095,4e-4,0.0095,0.004
new york,male,2302198,7.4138704827253585,0.9932147514156776,24.555555555555557,0.0095,4e-4,0.0095,0.004
new york,female,2202437,7.4138704827253585,0.9932147514156776,24.555555555555557,0.0095,4e-4,0.0095,0.004
north carolina,male,1217863,4.840678002978285,0.5736152916373429,30.071428571428573,0.0095,4e-4,0.0095,0.004
north carolina,female,1163923,4.840678002978285,0.5736152916373429,30.071428571428573,0.0095,4e-4,0.0095,0.004
north dakota,male,79812,-0.718660945854715,0.7665008905414159,38,0.0095,4e-4,0.0095,0.004
north dakota,female,76101,-0.718660945854715,0.7665008905414159,38,0.0095,4e-4,0.0095,0.004
ohio,male,1459863,4.487444605592271,0.6712301432237828,34.7,0.0095,4e-4,0.0095,0.004
