state,strata,pop_at_risk,par_se,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
alabama,marginal,129218.76771550713,6234.296658050993,6.168036540793379,0.855377499605896,32.42857142857143,0.1067,0.0047,0.0095,0.004
california,marginal,671986.4161760651,20890.44425128587,2.494174546876336,0.4425310416487048,24.78787878787879,0.1067,0.0047,0.0095,0.004
connecticut,marginal,84677.37260404431,2590.3335713722413,7.530114222888063,1.5850624242069442,18.4,0.1067,0.0047,0.0095,0.004
maryland,marginal,15798.013534971855,730.185445510662,4.3197604984360645,1.8288996169773302,17.666666666666668,0.1067,0.0047,0.0095,0.004
georgia,marginal,248135.14745203464,8370.768959485888,8.394070379725413,0.643853992356035,34.36363636363637,0.1067,0.0047,0.0095,0.004
illinois,marginal,273229.3055206418,12559.979965424463,3.077782143682389,0.6335156637882573,42.111111111111114,0.1067,0.0047,0.0095,0.004
indiana,marginal,132569.087090111,4345.635040413426,6.402586608509475,1.4603050061487217,17.8,0.1067,0.0047,0.0095,0.004
kansas,marginal,59398.97315219292,1388.3273343695685,-0.9269572611440776,1.2420225405971406,46,0.1067,0.0047,0.0095,0.004
kentucky,marginal,99244.19237655136,4045.5068835411776,4.03911989119097,0.5397091539639758,27.823529411764707,0.1067,0.0047,0.0095,0.004
louisiana,marginal,92047.26841542013,4601.615490386994,10.90478106983647,0.894491663404189,31.7,0.1067,0.0047,0.0095,0.004
maryland,marginal,131237.96659886342,3644.759273399605,4.3197604984360645,1.8288996169773302,17.666666666666668,0.1067,0.0047,0.0095,0.004
maine,marginal,24458.05562364132,964.9552474012246,4.690142121423655,1.4355742837081207,22.333333333333332,0.1067,0.0047,0.0095,0.004
michigan,marginal,229160.95266229438,5876.510505298942,2.707859151784442,0.9364894444155839,19.555555555555557,0.1067,0.0047,0.0095,0.004
missouri,marginal,131334.2639467264,5643.993486104522,4.381615478641194,1.0447475508989015,26.666666666666668,0.1067,0.0047,0.0095,0.004
mississippi,marginal,74074.2878338705,2279.498221777358,8.811740792233623,0.8218515652930607,30.5,0.1067,0.0047,0.0095,0.004
montana,marginal,14629.653288402222,532.829407334002,-1.3035954384973885,1.0421519238620696,21.5,0.1067,0.0047,0.0095,0.004
north carolina,marginal,250591,27750,4.840678002978285,0.5736152916373429,30.071428571428573,0.1067,0.0047,0.0095,0.004
